
# Surface 0 of 1 surfaces

# Curve title: "h(x,y)"

# Contour 0, label:        6
-4.60861 -14.0617  6 
-4.66732 -14.0752  6 
-4.72603 -14.0886  6 
-4.78474 -14.1017  6 
-4.84344 -14.1145  6 
-4.86626 -14.1194  6 
-4.90215 -14.127  6 
-4.96086 -14.1392  6 
-5.01957 -14.1511  6 
-5.07828 -14.1628  6 
-5.13699 -14.1741  6 
-5.15785 -14.1781  6 
-5.19569 -14.1852  6 
-5.2544 -14.1959  6 
-5.31311 -14.2063  6 
-5.37182 -14.2164  6 
-5.43053 -14.2262  6 
-5.48924 -14.2357  6 
-5.49594 -14.2368  6 
-5.54795 -14.2449  6 
-5.60665 -14.2537  6 
-5.66536 -14.2622  6 
-5.72407 -14.2704  6 
-5.78278 -14.2782  6 
-5.84149 -14.2858  6 
-5.9002 -14.293  6 
-5.92197 -14.2955  6 
-5.9589 -14.2998  6 
-6.01761 -14.3063  6 
-6.07632 -14.3124  6 
-6.13503 -14.3182  6 
-6.19374 -14.3236  6 
-6.25245 -14.3287  6 
-6.31115 -14.3335  6 
-6.36986 -14.3379  6 
-6.42857 -14.3419  6 
-6.48728 -14.3456  6 
-6.54599 -14.3489  6 
-6.6047 -14.3518  6 
-6.65955 -14.3542  6 
-6.66341 -14.3544  6 
-6.72211 -14.3566  6 
-6.78082 -14.3584  6 
-6.83953 -14.3598  6 
-6.89824 -14.3608  6 
-6.95695 -14.3615  6 
-7.01566 -14.3618  6 
-7.07436 -14.3617  6 
-7.13307 -14.3612  6 
-7.19178 -14.3604  6 
-7.25049 -14.3591  6 
-7.3092 -14.3574  6 
-7.36791 -14.3554  6 

-0.0880626 -12.8374  6 
-0.146771 -12.8444  6 
-0.205479 -12.852  6 
-0.264188 -12.86  6 
-0.322896 -12.8685  6 
-0.381605 -12.8776  6 
-0.436589 -12.8865  6 
-0.440313 -12.8871  6 
-0.499022 -12.897  6 
-0.55773 -12.9075  6 
-0.616438 -12.9184  6 
-0.675147 -12.9298  6 
-0.733855 -12.9416  6 
-0.750816 -12.9452  6 
-0.792564 -12.9539  6 
-0.851272 -12.9665  6 
-0.90998 -12.9796  6 
-0.968689 -12.9932  6 
-1.01395 -13.0039  6 
-1.0274 -13.0071  6 
-1.08611 -13.0213  6 
-1.14481 -13.0359  6 
-1.20352 -13.0509  6 
-1.24816 -13.0626  6 
-1.26223 -13.0663  6 
-1.32094 -13.0819  6 
-1.37965 -13.0978  6 
-1.43836 -13.1141  6 
-1.46393 -13.1213  6 
-1.49706 -13.1306  6 
-1.55577 -13.1474  6 
-1.61448 -13.1644  6 
-1.66735 -13.18  6 
